Year,Value,Units,Series
2016,134.77,tonnes per hectare,Above-ground biomass in forest
2017,134.77,tonnes per hectare,Above-ground biomass in forest
2018,134.77,tonnes per hectare,Above-ground biomass in forest
2019,134.77,tonnes per hectare,Above-ground biomass in forest
2020,134.77,tonnes per hectare,Above-ground biomass in forest
2016,18.38,Percentage (%),Proportion of forest area with a long-term management plan
2017,16.5,Percentage (%),Proportion of forest area with a long-term management plan
2018,14.63,Percentage (%),Proportion of forest area with a long-term management plan
2019,12.75,Percentage (%),Proportion of forest area with a long-term management plan
2020,10.88,Percentage (%),Proportion of forest area with a long-term management plan
2016,12.88,Percentage (%),Proportion of forest area within legally established protected areas
2017,12.88,Percentage (%),Proportion of forest area within legally established protected areas
2018,12.88,Percentage (%),Proportion of forest area within legally established protected areas
2019,12.88,Percentage (%),Proportion of forest area within legally established protected areas
2020,12.88,Percentage (%),Proportion of forest area within legally established protected areas
