Year,Value,Units,Series
2015,6.4,Percentage (%),Proportion of seats held by women in (a) national parliaments
2016,6.4,Percentage (%),Proportion of seats held by women in (a) national parliaments
2017,6.4,Percentage (%),Proportion of seats held by women in (a) national parliaments
2018,6.4,Percentage (%),Proportion of seats held by women in (a) national parliaments
2015,6.42,Percentage (%),Proportion of seats held by women in (a1) Senate
2016,6.42,Percentage (%),Proportion of seats held by women in (a1) Senate
2017,6.42,Percentage (%),Proportion of seats held by women in (a1) Senate
2018,6.42,Percentage (%),Proportion of seats held by women in (a1) Senate
2015,6.39,Percentage (%),Proportion of seats held by women in (a2) House of representatives
2016,6.39,Percentage (%),Proportion of seats held by women in (a2) House of representatives
2017,6.39,Percentage (%),Proportion of seats held by women in (a2) House of representatives
2018,6.39,Percentage (%),Proportion of seats held by women in (a2) House of representatives
2019,4.09,Percentage (%),Proportion of seats held by women in (a) national parliaments
2020,4.09,Percentage (%),Proportion of seats held by women in (a) national parliaments
2021,4.09,Percentage (%),Proportion of seats held by women in (a) national parliaments
2022,4.09,Percentage (%),Proportion of seats held by women in (a) national parliaments
2019,6.67,Percentage (%),Proportion of seats held by women in (a1) Senate
2020,6.67,Percentage (%),Proportion of seats held by women in (a1) Senate
2021,6.67,Percentage (%),Proportion of seats held by women in (a1) Senate
2022,6.67,Percentage (%),Proportion of seats held by women in (a1) Senate
2019,3.34,Percentage (%),Proportion of seats held by women in (a2) House of representatives
2020,3.34,Percentage (%),Proportion of seats held by women in (a2) House of representatives
2021,3.34,Percentage (%),Proportion of seats held by women in (a2) House of representatives
2022,3.34,Percentage (%),Proportion of seats held by women in (a2) House of representatives
